-63.455, -49.134, 123.715
-61.866, -47.92, 123.486
-60.257, -46.732, 123.25
-58.629, -45.571, 123.006
-56.98, -44.439, 122.758
-55.309, -43.339, 122.505
-53.617, -42.274, 122.252
-51.902, -41.245, 121.751
-50.16, -40.261, 121.51
-48.396, -39.32, 121.28
-46.608, -38.424, 121.064
-44.794, -37.582, 120.689
-42.957, -36.793, 120.537
-41.097, -36.056, 120.321
-39.214, -35.384, 120.262
-37.311, -34.766, 120.238
-35.389, -34.215, 120.299
-33.451, -33.721, 120.383
-31.498, -33.292, 120.656
-29.533, -32.92, 120.84
-27.558, -32.608, 121.289
-25.574, -32.35, 121.547
-23.585, -32.144, 122.111
-21.591, -31.987, 122.411
-19.595, -31.873, 123.025
-17.596, -31.802, 123.334
-15.596, -31.765, 123.64
-13.596, -31.762, 124.236
-11.596, -31.786, 124.521
-9.597, -31.835, 122.987
-7.598, -31.898, 120.904
-5.599, -31.955, 118.785
-3.6, -32.008, 116.627
-1.6, -32.063, 114.428
0.399, -32.124, 112.187
2.398, -32.193, 109.899
4.396, -32.277, 107.563
6.393, -32.379, 105.175
8.389, -32.504, 102.732
10.383, -32.654, 100.229
12.375, -32.836, 97.662
14.363, -33.054, 95.026
16.345, -33.322, 92.314
18.32, -33.639, 89.521
20.284, -34.016, 86.637
22.232, -34.465, 83.654
24.158, -35.005, 80.561
26.054, -35.64, 77.345
27.901, -36.405, 73.989
29.685, -37.308, 70.474
31.365, -38.39, 66.776
32.911, -39.656, 62.861
34.25, -41.139, 58.686
35.33, -42.818, 54.194
36.119, -44.651, 49.295
36.586, -46.593, 43.847
36.769, -48.582, 37.62
36.698, -50.579, 30.128
36.434, -52.561, 20
36.271, -53.41, 0
36.271, -53.41, 0
32.493, -73.05, 0
endData
127
127
200
-63.455, -49.134, -43.613, -33.738, -29.073, -31.173, -8.888, -31.857
-8.888, -31.857, 11.297, -32.541, 41.061, -31.515, 36.271, -53.41
